# Output from hector version 3.1.1 on Mon Dec 18 17:24:56 2023
year,run_name,spinup,component,variable,value,units
1,gcam,1,OH,TAU_OH,6.6,Years
1,gcam,1,CH4,CH4_concentration,731.41,ppbv CH4
1,gcam,1,ozone,O3_concentration,30,DU O3
1,gcam,1,N2O,N2O_concentration,273.87,ppbv N2O
1,gcam,1,CF4_halocarbon,hc_concentration,35,pptv
1,gcam,1,C2F6_halocarbon,hc_concentration,0,pptv
1,gcam,1,HFC23_halocarbon,hc_concentration,0,pptv
1,gcam,1,HFC32_halocarbon,hc_concentration,0,pptv
1,gcam,1,HFC4310_halocarbon,hc_concentration,0,pptv
1,gcam,1,HFC125_halocarbon,hc_concentration,0,pptv
1,gcam,1,HFC134a_halocarbon,hc_concentration,0,pptv
1,gcam,1,HFC143a_halocarbon,hc_concentration,0,pptv
1,gcam,1,HFC227ea_halocarbon,hc_concentration,0,pptv
1,gcam,1,HFC245fa_halocarbon,hc_concentration,0,pptv
1,gcam,1,SF6_halocarbon,hc_concentration,0,pptv
1,gcam,1,CFC11_halocarbon,hc_concentration,0,pptv
1,gcam,1,CFC12_halocarbon,hc_concentration,0,pptv
1,gcam,1,CFC113_halocarbon,hc_concentration,0,pptv
1,gcam,1,CFC114_halocarbon,hc_concentration,0,pptv
1,gcam,1,CFC115_halocarbon,hc_concentration,0,pptv
1,gcam,1,CCl4_halocarbon,hc_concentration,0,pptv
1,gcam,1,CH3CCl3_halocarbon,hc_concentration,0,pptv
1,gcam,1,HCFC22_halocarbon,hc_concentration,0,pptv
1,gcam,1,HCFC141b_halocarbon,hc_concentration,0,pptv
1,gcam,1,HCFC142b_halocarbon,hc_concentration,0,pptv
1,gcam,1,halon1211_halocarbon,hc_concentration,0,pptv
1,gcam,1,halon1301_halocarbon,hc_concentration,0,pptv
1,gcam,1,halon2402_halocarbon,hc_concentration,0,pptv
1,gcam,1,CH3Br_halocarbon,hc_concentration,5.8,pptv
1,gcam,1,CH3Cl_halocarbon,hc_concentration,504,pptv
1,gcam,1,ocean,HL_ocean_uptake,1,Pg C/yr
1,gcam,1,ocean,LL_ocean_uptake,-1,Pg C/yr
1,gcam,1,ocean,DO_ocean_c,28000.9,Pg C
1,gcam,1,ocean,HL_ocean_c,140.681,Pg C
1,gcam,1,ocean,IO_ocean_c,9079.58,Pg C
1,gcam,1,ocean,LL_ocean_c,772.072,Pg C
1,gcam,1,ocean,HL_DIC,2112.16,umol/kg
1,gcam,1,ocean,LL_DIC,2045.61,umol/kg
1,gcam,1,ocean,HL_downwelling,95.4617,Pg C/yr
1,gcam,1,ocean,ocean_uptake,0,Pg C
1,gcam,1,ocean,HL_OmegaAr,0,(undefined)
1,gcam,1,ocean,LL_OmegaAr,0,(undefined)
1,gcam,1,ocean,HL_OmegaCa,0,(undefined)
1,gcam,1,ocean,LL_OmegaCa,0,(undefined)
1,gcam,1,ocean,HL_PCO2,0,(undefined)
1,gcam,1,ocean,LL_PCO2,0,(undefined)
1,gcam,1,ocean,HL_pH,0,(undefined)
1,gcam,1,ocean,LL_pH,0,(undefined)
1,gcam,1,ocean,HL_sst,1.6,degC
1,gcam,1,ocean,LL_sst,20.9,degC
1,gcam,1,ocean,ocean_c,37993.2,Pg C
1,gcam,1,ocean,HL_CO3,0,(undefined)
1,gcam,1,ocean,LL_CO3,0,(undefined)
1,gcam,1,simpleNbox,NBP,6.81,Pg C/yr
1,gcam,1,simpleNbox,NPP,56.2,Pg C/yr
1,gcam,1,simpleNbox,RH,49.39,Pg C/yr
1,gcam,1,simpleNbox,rh_ch4,49.39,Pg C/yr
1,gcam,1,simpleNbox,CO2_concentration,277.15,ppmv CO2
1,gcam,1,simpleNbox,atmos_co2,590.329,Pg C
1,gcam,1,simpleNbox,atmos_c_residual,-6.81,Pg C
1,gcam,1,simpleNbox,veg_c,550.42,Pg C
1,gcam,1,simpleNbox,detritus_c,60.835,Pg C
1,gcam,1,simpleNbox,soil_c,1782.56,Pg C
1,gcam,1,simpleNbox,permafrost_c,0,Pg C
1,gcam,1,simpleNbox,thawedp_c,0,Pg C
1,gcam,1,simpleNbox,f_frozen,1,(unitless)
1,gcam,1,simpleNbox,earth_c,5500,Pg C
1,gcam,1,temperature,global_tas,0,degC
1,gcam,1,temperature,gmst,0,(undefined)
1,gcam,1,temperature,heatflux_mixed,0,W/m2
1,gcam,1,temperature,heatflux_interior,0,W/m2
1,gcam,1,temperature,heatflux,0,W/m2
1,gcam,1,temperature,land_tas,0,(undefined)
1,gcam,1,temperature,sst,0,(undefined)
2,gcam,1,OH,TAU_OH,6.6,Years
2,gcam,1,CH4,CH4_concentration,731.4,ppbv CH4
2,gcam,1,ozone,O3_concentration,30,DU O3
2,gcam,1,N2O,N2O_concentration,273.9,ppbv N2O
2,gcam,1,CF4_halocarbon,hc_concentration,35,pptv
2,gcam,1,C2F6_halocarbon,hc_concentration,0,pptv
2,gcam,1,HFC23_halocarbon,hc_concentration,0,pptv
2,gcam,1,HFC32_halocarbon,hc_concentration,0,pptv
2,gcam,1,HFC4310_halocarbon,hc_concentration,0,pptv
2,gcam,1,HFC125_halocarbon,hc_concentration,0,pptv
2,gcam,1,HFC134a_halocarbon,hc_concentration,0,pptv
2,gcam,1,HFC143a_halocarbon,hc_concentration,0,pptv
2,gcam,1,HFC227ea_halocarbon,hc_concentration,0,pptv
2,gcam,1,HFC245fa_halocarbon,hc_concentration,0,pptv
2,gcam,1,SF6_halocarbon,hc_concentration,0,pptv
2,gcam,1,CFC11_halocarbon,hc_concentration,0,pptv
2,gcam,1,CFC12_halocarbon,hc_concentration,0,pptv
2,gcam,1,CFC113_halocarbon,hc_concentration,0,pptv
2,gcam,1,CFC114_halocarbon,hc_concentration,0,pptv
2,gcam,1,CFC115_halocarbon,hc_concentration,0,pptv
2,gcam,1,CCl4_halocarbon,hc_concentration,0,pptv
2,gcam,1,CH3CCl3_halocarbon,hc_concentration,0,pptv
