2023-18-12:17:24:23

Starting new scenario: Reference
Period 0: 1975
Period 1: 1990
###Preconditioner-strt: 1         , 1         , 1         , -388.855  , -388.855  , -388.855  , 3.88855e+08,	0  , 388.855   , 0         , Normal    , globalResidue                       , 
Market Name, X, XL, XR, ED, EDL, EDR, RED, bracketed, supply, demand
###Preconditioner-0: 0.001     , 0.001     , 0.001     , 1.91542   , 1.91542   , 1.91542   , 0.135427  ,	0  , 12.2281   , 14.1436   , Normal    , CaribbeanCaribbean_water withdrawals, 
###Preconditioner-1: 0.001     , 0.001     , 0.001     , 1.97415   , 1.91542   , 1.91542   , 0.139002  ,	0  , 12.2281   , 14.2023   , Normal    , CaribbeanCaribbean_water withdrawals, 
###Preconditioner-end: 1         , 1         , 1         , -388.855  , -388.855  , -388.855  , 3.88855e+08,	0  , 388.855   , 0         , Normal    , globalResidue                       , 
Policy All, X, XL, XR, ED, EDL, EDR, RED, bracketed, supply, demand
BisectAll-maxRelED: 3.00729e-05, 0.1       , 4.51093e-05, -0.225546 , -76.5101  , -0.33832  , 225546    ,	0  , 0.225546  , 0         , Normal    , globalbio_externality_cost          , 
BisectAll-maxRelED: 3.00729e-05, 0.1       , 4.51093e-05, -0.225546 , -76.5101  , -0.33832  , 225546    ,	0  , 0.225546  , 0         , Normal    , globalbio_externality_cost          , 
BisectAll-maxRelED: 3.00729e-05, 0.1       , 4.51093e-05, -0.225546 , -76.5101  , -0.33832  , 225546    ,	0  , 0.225546  , 0         , Normal    , globalbio_externality_cost          , 
BisectAll-maxRelED: 3.00729e-05, 0.1       , 4.51093e-05, -0.225546 , -76.5101  , -0.33832  , 225546    ,	0  , 0.225546  , 0         , Normal    , globalbio_externality_cost          , 
BisectAll-maxRelED: 3.00729e-05, 0.1       , 4.51093e-05, -0.225546 , -76.5101  , -0.33832  , 225546    ,	0  , 0.225546  , 0         , Normal    , globalbio_externality_cost          , 
BisectAll-maxRelED: 3.00729e-05, 0.1       , 4.51093e-05, -0.225546 , -76.5101  , -0.33832  , 225546    ,	0  , 0.225546  , 0         , Normal    , globalbio_externality_cost          , 
BisectAll-maxRelED: 3.00729e-05, 0.1       , 4.51093e-05, -0.225546 , -76.5101  , -0.33832  , 225546    ,	0  , 0.225546  , 0         , Normal    , globalbio_externality_cost          , 
BisectAll-maxRelED: 3.00729e-05, 0.1       , 4.51093e-05, -0.225546 , -76.5101  , -0.33832  , 225546    ,	0  , 0.225546  , 0         , Normal    , globalbio_externality_cost          , 
BisectAll-maxRelED: 3.00729e-05, 0.1       , 4.51093e-05, -0.225546 , -76.5101  , -0.33832  , 225546    ,	0  , 0.225546  , 0         , Normal    , globalbio_externality_cost          , 
BisectAll-maxRelED: 3.00729e-05, 0.1       , 4.51093e-05, -0.225546 , -76.5101  , -0.33832  , 225546    ,	0  , 0.225546  , 0         , Normal    , globalbio_externality_cost          , 
Policy All, X, XL, XR, ED, EDL, EDR, RED, bracketed, supply, demand
BisectAll-maxRelED: -0.00758603, -0.00758603, 0.00844346, 3.80515   , 3.80515   , -0.040974 , 1         ,	1  , 0         , 3.80515   , Normal    , DniesterRDniesterR_water withdrawals, 
BisectAll-maxRelED: 1.00012e-05, 1.00012e-05, 1.00031e-05, 0.00899891, 0.00899891, -0.0009533, 0.599141  ,	1  , 0.00602077, 0.0150197 , Normal    , FlyRFlyR_water withdrawals          , 
BisectAll-maxRelED: 1.00022e-05, 1.00012e-05, 1.00022e-05, -0.0009454, 0.000780668, -0.0009454, 0.329511  ,	1  , 0.0038145 , 0.0028691 , Normal    , SolomonIslSolomonIsl_water withdrawals, 
BisectAll-maxRelED: 1.00026e-05, 1.00026e-05, 1.00031e-05, 0.00153475, 0.00153475, -0.0009533, 0.102183  ,	1  , 0.0134849 , 0.0150197 , Normal    , FlyRFlyR_water withdrawals          , 
BisectAll-maxRelED: 0.000322936, 0.000322936, 0.000384464, 0.246891  , 0.246891  , -0.0966214, 0.0402434 ,	1  , 5.88806   , 6.13495   , Normal    , SAmerCstNSAmerCstN_water withdrawals, 
BisectAll-maxRelED: 1.0003e-05, 1.00029e-05, 1.0003e-05, -0.000331287, 0.000290726, -0.000331287, 0.0220569 ,	1  , 0.015351  , 0.0150197 , Normal    , FlyRFlyR_water withdrawals          , 
BisectAll-maxRelED: 0.00618931, 0.00593885, 0.00618931, -0.03694  , 0.0116662 , -0.03694  , 0.0097079 ,	1  , 3.84209   , 3.80515   , Normal    , DniesterRDniesterR_water withdrawals, 
BisectAll-maxRelED: 0.000361391, 0.000361391, 0.000369082, 0.0321958 , 0.0321958 , -0.0107433, 0.00524793,	1  , 6.10275   , 6.13495   , Normal    , SAmerCstNSAmerCstN_water withdrawals, 
BisectAll-maxRelED: 0.000365236, 0.000365236, 0.000369082, 0.0107262 , 0.0107262 , -0.0107433, 0.00174838,	1  , 6.12422   , 6.13495   , Normal    , SAmerCstNSAmerCstN_water withdrawals, 
Broyden-linearPrice:  0.104532  , 0.00506085, 0.00506085, -0.053707 , 0.264808  , 0.264808  , 1.05671   ,	0  , 0.104532  , 0.0508247 , Trial-Value, South Asiaenergy net export         , 
Broyden-linearPrice:  0.0380538 , 0.0499837 , 0.0499837 , 0.0024506 , 0.00210222, 0.00210222, 0.882413  ,	0  , 0.000326559, 0.00277716, Normal    , EU-15onshore wind resource          , 
