INPUT_TABLE,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,
AUS_NZ_nonETS_NZ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
region,ghgpolicy,market,year,constraint,,,,,,,,,,,
Australia_NZ,CO2nonETS,Australia_NZ,2030,55.53,,,,,,,,,,,
Australia_NZ,CO2nonETS,Australia_NZ,2035,42.08,,,,,,,,,,,
Australia_NZ,CO2nonETS,Australia_NZ,2040,26.06,,,,,,,,,,,
Australia_NZ,CO2nonETS,Australia_NZ,2045,9.98,,,,,,,,,,,
Australia_NZ,CO2nonETS,Australia_NZ,2050,-6.27,,,,,,,,,,,
Australia_NZ,CO2nonETS,Australia_NZ,2055,-6.56,,,,,,,,,,,
Australia_NZ,CO2nonETS,Australia_NZ,2060,-5.69,,,,,,,,,,,
Australia_NZ,CO2nonETS,Australia_NZ,2065,-4.32,,,,,,,,,,,
Australia_NZ,CO2nonETS,Australia_NZ,2070,-3.44,,,,,,,,,,,
,,,,,,,,,,,,,,,
