# File: Zhou_solar_supply_ctry_EJ.csv
# Title: Central case for solar resources and price
# Units: Energy in EJ; price in $2007/kWh
# Source: http://pubs.acs.org/doi/pdf/10.1021/es204706m; Zhou et al. Evaluation of Global Onshore Wind Energy Potential and Generation Costs
# Comments: All regions potential set as 500and S-curve is steep to mae solar resource act as an unlimited resource with structure of limited resource for changes in future.
# Column types: cnnnn 
# ----------
iso,maxSubResource,mid-price,curve-exponent,base-price
rus,500,0.0001,100,0.001
can,500,0.0001,100,0.001
usa,500,0.0001,100,0.001
chn,500,0.0001,100,0.001
bra,500,0.0001,100,0.001
aus,500,0.0001,100,0.001
ind,500,0.0001,100,0.001
arg,500,0.0001,100,0.001
kaz,500,0.0001,100,0.001
sdn,500,0.0001,100,0.001
dza,500,0.0001,100,0.001
cod,500,0.0001,100,0.001
idn,500,0.0001,100,0.001
mex,500,0.0001,100,0.001
sau,500,0.0001,100,0.001
lby,500,0.0001,100,0.001
irn,500,0.0001,100,0.001
mng,500,0.0001,100,0.001
per,500,0.0001,100,0.001
tcd,500,0.0001,100,0.001
ago,500,0.0001,100,0.001
mli,500,0.0001,100,0.001
zaf,500,0.0001,100,0.001
ner,500,0.0001,100,0.001
col,500,0.0001,100,0.001
eth,500,0.0001,100,0.001
bol,500,0.0001,100,0.001
mrt,500,0.0001,100,0.001
egy,500,0.0001,100,0.001
ven,500,0.0001,100,0.001
nga,500,0.0001,100,0.001
tza,500,0.0001,100,0.001
nam,500,0.0001,100,0.001
chl,500,0.0001,100,0.001
pak,500,0.0001,100,0.001
tur,500,0.0001,100,0.001
moz,500,0.0001,100,0.001
zmb,500,0.0001,100,0.001
mmr,500,0.0001,100,0.001
mar,500,0.0001,100,0.001
som,500,0.0001,100,0.001
afg,500,0.0001,100,0.001
caf,500,0.0001,100,0.001
mdg,500,0.0001,100,0.001
ukr,500,0.0001,100,0.001
ken,500,0.0001,100,0.001
grl,500,0.0001,100,0.001
bwa,500,0.0001,100,0.001
fra,500,0.0001,100,0.001
tha,500,0.0001,100,0.001
esp,500,0.0001,100,0.001
png,500,0.0001,100,0.001
tkm,500,0.0001,100,0.001
cmr,500,0.0001,100,0.001
swe,500,0.0001,100,0.001
irq,500,0.0001,100,0.001
yem,500,0.0001,100,0.001
uzb,500,0.0001,100,0.001
jpn,500,0.0001,100,0.001
pry,500,0.0001,100,0.001
zwe,500,0.0001,100,0.001
phl,500,0.0001,100,0.001
deu,500,0.0001,100,0.001
nor,500,0.0001,100,0.001
mys,500,0.0001,100,0.001
fin,500,0.0001,100,0.001
cog,500,0.0001,100,0.001
vnm,500,0.0001,100,0.001
civ,500,0.0001,100,0.001
omn,500,0.0001,100,0.001
ita,500,0.0001,100,0.001
pol,500,0.0001,100,0.001
nzl,500,0.0001,100,0.001
bfa,500,0.0001,100,0.001
gbr,500,0.0001,100,0.001
gab,500,0.0001,100,0.001
ecu,500,0.0001,100,0.001
gin,500,0.0001,100,0.001
gha,500,0.0001,100,0.001
rom,500,0.0001,100,0.001
lao,500,0.0001,100,0.001
uga,500,0.0001,100,0.001
guy,500,0.0001,100,0.001
blr,500,0.0001,100,0.001
sen,500,0.0001,100,0.001
kgz,500,0.0001,100,0.001
syr,500,0.0001,100,0.001
khm,500,0.0001,100,0.001
ury,500,0.0001,100,0.001
grc,500,0.0001,100,0.001
tun,500,0.0001,100,0.001
sur,500,0.0001,100,0.001
npl,500,0.0001,100,0.001
bgd,500,0.0001,100,0.001
tjk,500,0.0001,100,0.001
