# File: A54.india_StubTranTechCost.csv
# Title: Non-energy sub technology transport cost
# Units: 1990$/VKM
# Column types: ccccicn
# ----------
region,supplysector,tranSubsector,stub.technology,year,minicam.non.energy.input,input.cost
India,trn_aviation_intl,International Aviation,Liquids,1975,non-energy,12.5342
India,trn_aviation_intl,International Aviation,Liquids,1990,non-energy,12.5342
India,trn_aviation_intl,International Aviation,Liquids,2005,non-energy,12.5342
India,trn_aviation_intl,International Aviation,Liquids,2010,non-energy,12.2287
India,trn_aviation_intl,International Aviation,Liquids,2015,non-energy,11.9231
India,trn_aviation_intl,International Aviation,Liquids,2020,non-energy,11.6175
India,trn_aviation_intl,International Aviation,Liquids,2025,non-energy,11.4737
India,trn_aviation_intl,International Aviation,Liquids,2030,non-energy,11.3298
India,trn_aviation_intl,International Aviation,Liquids,2035,non-energy,11.1859
India,trn_aviation_intl,International Aviation,Liquids,2040,non-energy,11.2994
India,trn_aviation_intl,International Aviation,Liquids,2045,non-energy,11.4128
India,trn_aviation_intl,International Aviation,Liquids,2050,non-energy,11.5263
India,trn_aviation_intl,International Aviation,Liquids,2055,non-energy,11.5263
India,trn_aviation_intl,International Aviation,Liquids,2060,non-energy,11.5263
India,trn_aviation_intl,International Aviation,Liquids,2065,non-energy,11.5263
India,trn_aviation_intl,International Aviation,Liquids,2070,non-energy,11.5263
India,trn_aviation_intl,International Aviation,Liquids,2075,non-energy,11.5263
India,trn_aviation_intl,International Aviation,Liquids,2080,non-energy,11.5263
India,trn_aviation_intl,International Aviation,Liquids,2085,non-energy,11.5263
India,trn_aviation_intl,International Aviation,Liquids,2090,non-energy,11.5263
India,trn_aviation_intl,International Aviation,Liquids,2095,non-energy,11.5263
India,trn_aviation_intl,International Aviation,Liquids,2100,non-energy,11.5263
India,trn_freight,Freight Rail,Coal,1975,non-energy,0
India,trn_freight,Freight Rail,Coal,1990,non-energy,0
India,trn_freight,Freight Rail,Coal,2005,non-energy,0
India,trn_freight,Freight Rail,Coal,2010,non-energy,0
India,trn_freight,Freight Rail,Coal,2015,non-energy,0
India,trn_freight,Freight Rail,Coal,2020,non-energy,0
India,trn_freight,Freight Rail,Coal,2025,non-energy,0
India,trn_freight,Freight Rail,Coal,2030,non-energy,0
India,trn_freight,Freight Rail,Coal,2035,non-energy,0
India,trn_freight,Freight Rail,Coal,2040,non-energy,0
India,trn_freight,Freight Rail,Coal,2045,non-energy,0
India,trn_freight,Freight Rail,Coal,2050,non-energy,0
India,trn_freight,Freight Rail,Coal,2055,non-energy,0
India,trn_freight,Freight Rail,Coal,2060,non-energy,0
India,trn_freight,Freight Rail,Coal,2065,non-energy,0
India,trn_freight,Freight Rail,Coal,2070,non-energy,0
India,trn_freight,Freight Rail,Coal,2075,non-energy,0
India,trn_freight,Freight Rail,Coal,2080,non-energy,0
India,trn_freight,Freight Rail,Coal,2085,non-energy,0
India,trn_freight,Freight Rail,Coal,2090,non-energy,0
India,trn_freight,Freight Rail,Coal,2095,non-energy,0
India,trn_freight,Freight Rail,Coal,2100,non-energy,0
India,trn_freight,Freight Rail,Electric,1975,non-energy,12.57387
India,trn_freight,Freight Rail,Electric,1990,non-energy,12.57387
India,trn_freight,Freight Rail,Electric,2005,non-energy,12.57387
India,trn_freight,Freight Rail,Electric,2010,non-energy,12.5741
India,trn_freight,Freight Rail,Electric,2015,non-energy,12.574215
India,trn_freight,Freight Rail,Electric,2020,non-energy,12.574445
India,trn_freight,Freight Rail,Electric,2025,non-energy,12.57456
India,trn_freight,Freight Rail,Electric,2030,non-energy,12.57479
India,trn_freight,Freight Rail,Electric,2035,non-energy,12.57502
India,trn_freight,Freight Rail,Electric,2040,non-energy,12.575135
India,trn_freight,Freight Rail,Electric,2045,non-energy,12.575365
India,trn_freight,Freight Rail,Electric,2050,non-energy,12.57548
India,trn_freight,Freight Rail,Electric,2055,non-energy,12.57571
India,trn_freight,Freight Rail,Electric,2060,non-energy,12.57594
India,trn_freight,Freight Rail,Electric,2065,non-energy,12.576055
India,trn_freight,Freight Rail,Electric,2070,non-energy,12.576285
India,trn_freight,Freight Rail,Electric,2075,non-energy,12.5764
India,trn_freight,Freight Rail,Electric,2080,non-energy,12.57663
India,trn_freight,Freight Rail,Electric,2085,non-energy,12.576745
India,trn_freight,Freight Rail,Electric,2090,non-energy,12.57686
India,trn_freight,Freight Rail,Electric,2095,non-energy,12.57709
India,trn_freight,Freight Rail,Electric,2100,non-energy,12.57709
India,trn_freight,Freight Rail,Liquids,1975,non-energy,19.62728
India,trn_freight,Freight Rail,Liquids,1990,non-energy,19.62728
India,trn_freight,Freight Rail,Liquids,2005,non-energy,19.62728
India,trn_freight,Freight Rail,Liquids,2010,non-energy,19.62912
India,trn_freight,Freight Rail,Liquids,2015,non-energy,19.631075
India,trn_freight,Freight Rail,Liquids,2020,non-energy,19.63303
India,trn_freight,Freight Rail,Liquids,2025,non-energy,19.6351
India,trn_freight,Freight Rail,Liquids,2030,non-energy,19.637055
India,trn_freight,Freight Rail,Liquids,2035,non-energy,19.63901
India,trn_freight,Freight Rail,Liquids,2040,non-energy,19.640965
India,trn_freight,Freight Rail,Liquids,2045,non-energy,19.64292
India,trn_freight,Freight Rail,Liquids,2050,non-energy,19.644875
India,trn_freight,Freight Rail,Liquids,2055,non-energy,19.646715
India,trn_freight,Freight Rail,Liquids,2060,non-energy,19.64867
India,trn_freight,Freight Rail,Liquids,2065,non-energy,19.650625
India,trn_freight,Freight Rail,Liquids,2070,non-energy,19.65258
India,trn_freight,Freight Rail,Liquids,2075,non-energy,19.654535
India,trn_freight,Freight Rail,Liquids,2080,non-energy,19.65649
India,trn_freight,Freight Rail,Liquids,2085,non-energy,19.65833
India,trn_freight,Freight Rail,Liquids,2090,non-energy,19.660285
India,trn_freight,Freight Rail,Liquids,2095,non-energy,19.66224
India,trn_freight,Freight Rail,Liquids,2100,non-energy,19.66224
India,trn_freight,Domestic Ship,Liquids,1975,non-energy,0.6632
India,trn_freight,Domestic Ship,Liquids,1990,non-energy,0.6632
