# File: A54.india_core_changed.csv
# Title: Core Value Changed
# Units:EJ
# Column types: nccccccnn
# ----------
GCAM_region_ID,UCD_sector,mode,size.class,UCD_technology,UCD_fuel,fuel,year,value
17,Freight,Rail,All,Coal,Coal,coal,1971,0.32
17,Freight,Rail,All,Coal,Coal,coal,1972,0.31
17,Freight,Rail,All,Coal,Coal,coal,1973,0.28
17,Freight,Rail,All,Coal,Coal,coal,1974,0.29
17,Freight,Rail,All,Coal,Coal,coal,1975,0.29
17,Freight,Rail,All,Coal,Coal,coal,1976,0.27
17,Freight,Rail,All,Coal,Coal,coal,1977,0.26
17,Freight,Rail,All,Coal,Coal,coal,1978,0.26
17,Freight,Rail,All,Coal,Coal,coal,1979,0.26
17,Freight,Rail,All,Coal,Coal,coal,1980,0.26
17,Freight,Rail,All,Coal,Coal,coal,1981,0.26
17,Freight,Rail,All,Coal,Coal,coal,1982,0.21
17,Freight,Rail,All,Coal,Coal,coal,1983,0.21
17,Freight,Rail,All,Coal,Coal,coal,1984,0.18
17,Freight,Rail,All,Coal,Coal,coal,1985,0.19
17,Freight,Rail,All,Coal,Coal,coal,1986,0.16
17,Freight,Rail,All,Coal,Coal,coal,1987,0.15
17,Freight,Rail,All,Coal,Coal,coal,1988,0.13
17,Freight,Rail,All,Coal,Coal,coal,1989,0.11
17,Freight,Rail,All,Coal,Coal,coal,1990,0.0917512
17,Freight,Rail,All,Coal,Coal,coal,1991,0.1
17,Freight,Rail,All,Coal,Coal,coal,1992,0.08
17,Freight,Rail,All,Coal,Coal,coal,1993,0.04
17,Freight,Rail,All,Coal,Coal,coal,1994,0.01
17,Freight,Rail,All,Coal,Coal,coal,1995,0.01
17,Freight,Rail,All,Coal,Coal,coal,1996,0
17,Freight,Rail,All,Coal,Coal,coal,1997,0
17,Freight,Rail,All,Coal,Coal,coal,1998,0
17,Freight,Rail,All,Coal,Coal,coal,1999,0
17,Freight,Rail,All,Coal,Coal,coal,2000,0
17,Freight,Rail,All,Coal,Coal,coal,2001,0
17,Freight,Rail,All,Coal,Coal,coal,2002,0
17,Freight,Rail,All,Coal,Coal,coal,2003,0
17,Freight,Rail,All,Coal,Coal,coal,2004,0
17,Freight,Rail,All,Coal,Coal,coal,2005,0
17,Freight,Rail,All,Coal,Coal,coal,2006,0
17,Freight,Rail,All,Coal,Coal,coal,2007,0
17,Freight,Rail,All,Coal,Coal,coal,2008,0
17,Freight,Rail,All,Coal,Coal,coal,2009,0
17,Freight,Rail,All,Coal,Coal,coal,2010,0
17,Freight,Rail,All,Coal,Coal,coal,2011,0
17,Freight,Rail,All,Coal,Coal,coal,2012,0
17,Freight,Rail,All,Coal,Coal,coal,2013,0
17,Freight,Rail,All,Coal,Coal,coal,2014,0
17,Freight,Rail,All,Coal,Coal,coal,2015,0
17,Freight,Rail,All,Electric,Electricity,electricity,1971,0
17,Freight,Rail,All,Electric,Electricity,electricity,1972,0
17,Freight,Rail,All,Electric,Electricity,electricity,1973,0
17,Freight,Rail,All,Electric,Electricity,electricity,1974,0
17,Freight,Rail,All,Electric,Electricity,electricity,1975,0
17,Freight,Rail,All,Electric,Electricity,electricity,1976,0
17,Freight,Rail,All,Electric,Electricity,electricity,1977,0
17,Freight,Rail,All,Electric,Electricity,electricity,1978,0
17,Freight,Rail,All,Electric,Electricity,electricity,1979,0
17,Freight,Rail,All,Electric,Electricity,electricity,1980,0
17,Freight,Rail,All,Electric,Electricity,electricity,1981,0
17,Freight,Rail,All,Electric,Electricity,electricity,1982,0
17,Freight,Rail,All,Electric,Electricity,electricity,1983,0
17,Freight,Rail,All,Electric,Electricity,electricity,1984,0
17,Freight,Rail,All,Electric,Electricity,electricity,1985,0
17,Freight,Rail,All,Electric,Electricity,electricity,1986,0
17,Freight,Rail,All,Electric,Electricity,electricity,1987,0
