INPUT_TABLE,,,,,,
Variable ID,,,,,,
QUADRegionIntTechOMfixed,,,,,,
,,,,,,
region,supplysector,subsector,intermittent.technology,year,input.OM.fixed,OM.fixed
USA,electricity,solar,CSP,2020,OM-fixed,0
USA,electricity,solar,CSP,2025,OM-fixed,0
USA,electricity,solar,CSP,2030,OM-fixed,0
USA,electricity,solar,CSP,2035,OM-fixed,0
USA,electricity,solar,CSP,2040,OM-fixed,0
USA,electricity,solar,CSP,2045,OM-fixed,0
USA,electricity,solar,CSP,2050,OM-fixed,0
USA,electricity,solar,CSP,2055,OM-fixed,0
USA,electricity,solar,CSP,2060,OM-fixed,0
USA,electricity,solar,CSP,2065,OM-fixed,0
USA,electricity,solar,CSP,2070,OM-fixed,0
USA,electricity,solar,CSP,2075,OM-fixed,0
USA,electricity,solar,CSP,2080,OM-fixed,0
USA,electricity,solar,CSP,2085,OM-fixed,0
USA,electricity,solar,CSP,2090,OM-fixed,0
USA,electricity,solar,CSP,2095,OM-fixed,0
USA,electricity,solar,CSP,2100,OM-fixed,0
USA,electricity,solar,PV,2020,OM-fixed,0
USA,electricity,solar,PV,2025,OM-fixed,0
USA,electricity,solar,PV,2030,OM-fixed,0
USA,electricity,solar,PV,2035,OM-fixed,0
USA,electricity,solar,PV,2040,OM-fixed,0
USA,electricity,solar,PV,2045,OM-fixed,0
USA,electricity,solar,PV,2050,OM-fixed,0
USA,electricity,solar,PV,2055,OM-fixed,0
USA,electricity,solar,PV,2060,OM-fixed,0
USA,electricity,solar,PV,2065,OM-fixed,0
USA,electricity,solar,PV,2070,OM-fixed,0
USA,electricity,solar,PV,2075,OM-fixed,0
USA,electricity,solar,PV,2080,OM-fixed,0
USA,electricity,solar,PV,2085,OM-fixed,0
USA,electricity,solar,PV,2090,OM-fixed,0
USA,electricity,solar,PV,2095,OM-fixed,0
USA,electricity,solar,PV,2100,OM-fixed,0
USA,elect_td_bld,rooftop_pv,rooftop_pv,2020,OM-fixed,0
USA,elect_td_bld,rooftop_pv,rooftop_pv,2025,OM-fixed,0
USA,elect_td_bld,rooftop_pv,rooftop_pv,2030,OM-fixed,0
USA,elect_td_bld,rooftop_pv,rooftop_pv,2035,OM-fixed,0
USA,elect_td_bld,rooftop_pv,rooftop_pv,2040,OM-fixed,0
USA,elect_td_bld,rooftop_pv,rooftop_pv,2045,OM-fixed,0
USA,elect_td_bld,rooftop_pv,rooftop_pv,2050,OM-fixed,0
USA,elect_td_bld,rooftop_pv,rooftop_pv,2055,OM-fixed,0
USA,elect_td_bld,rooftop_pv,rooftop_pv,2060,OM-fixed,0
USA,elect_td_bld,rooftop_pv,rooftop_pv,2065,OM-fixed,0
USA,elect_td_bld,rooftop_pv,rooftop_pv,2070,OM-fixed,0
USA,elect_td_bld,rooftop_pv,rooftop_pv,2075,OM-fixed,0
USA,elect_td_bld,rooftop_pv,rooftop_pv,2080,OM-fixed,0
USA,elect_td_bld,rooftop_pv,rooftop_pv,2085,OM-fixed,0
USA,elect_td_bld,rooftop_pv,rooftop_pv,2090,OM-fixed,0
USA,elect_td_bld,rooftop_pv,rooftop_pv,2095,OM-fixed,0
USA,elect_td_bld,rooftop_pv,rooftop_pv,2100,OM-fixed,0
USA,electricity,wind,wind,2020,OM-fixed,0
USA,electricity,wind,wind,2025,OM-fixed,0
USA,electricity,wind,wind,2030,OM-fixed,0
USA,electricity,wind,wind,2035,OM-fixed,0
USA,electricity,wind,wind,2040,OM-fixed,0
USA,electricity,wind,wind,2045,OM-fixed,0
USA,electricity,wind,wind,2050,OM-fixed,0
USA,electricity,wind,wind,2055,OM-fixed,0
USA,electricity,wind,wind,2060,OM-fixed,0
USA,electricity,wind,wind,2065,OM-fixed,0
USA,electricity,wind,wind,2070,OM-fixed,0
USA,electricity,wind,wind,2075,OM-fixed,0
USA,electricity,wind,wind,2080,OM-fixed,0
USA,electricity,wind,wind,2085,OM-fixed,0
USA,electricity,wind,wind,2090,OM-fixed,0
USA,electricity,wind,wind,2095,OM-fixed,0
USA,electricity,wind,wind,2100,OM-fixed,0
Japan,electricity,solar,CSP,2020,OM-fixed,0
Japan,electricity,solar,CSP,2025,OM-fixed,0
Japan,electricity,solar,CSP,2030,OM-fixed,0
Japan,electricity,solar,CSP,2035,OM-fixed,0
Japan,electricity,solar,CSP,2040,OM-fixed,0
Japan,electricity,solar,CSP,2045,OM-fixed,0
Japan,electricity,solar,CSP,2050,OM-fixed,0
Japan,electricity,solar,CSP,2055,OM-fixed,0
Japan,electricity,solar,CSP,2060,OM-fixed,0
Japan,electricity,solar,CSP,2065,OM-fixed,0
Japan,electricity,solar,CSP,2070,OM-fixed,0
Japan,electricity,solar,CSP,2075,OM-fixed,0
Japan,electricity,solar,CSP,2080,OM-fixed,0
Japan,electricity,solar,CSP,2085,OM-fixed,0
Japan,electricity,solar,CSP,2090,OM-fixed,0
Japan,electricity,solar,CSP,2095,OM-fixed,0
Japan,electricity,solar,CSP,2100,OM-fixed,0
Japan,electricity,solar,PV,2020,OM-fixed,0
Japan,electricity,solar,PV,2025,OM-fixed,0
Japan,electricity,solar,PV,2030,OM-fixed,0
Japan,electricity,solar,PV,2035,OM-fixed,0
Japan,electricity,solar,PV,2040,OM-fixed,0
Japan,electricity,solar,PV,2045,OM-fixed,0
Japan,electricity,solar,PV,2050,OM-fixed,0
Japan,electricity,solar,PV,2055,OM-fixed,0
Japan,electricity,solar,PV,2060,OM-fixed,0
Japan,electricity,solar,PV,2065,OM-fixed,0
Japan,electricity,solar,PV,2070,OM-fixed,0
Japan,electricity,solar,PV,2075,OM-fixed,0
Japan,electricity,solar,PV,2080,OM-fixed,0
Japan,electricity,solar,PV,2085,OM-fixed,0
Japan,electricity,solar,PV,2090,OM-fixed,0
Japan,electricity,solar,PV,2095,OM-fixed,0
Japan,electricity,solar,PV,2100,OM-fixed,0
Japan,elect_td_bld,rooftop_pv,rooftop_pv,2020,OM-fixed,0
Japan,elect_td_bld,rooftop_pv,rooftop_pv,2025,OM-fixed,0
Japan,elect_td_bld,rooftop_pv,rooftop_pv,2030,OM-fixed,0
Japan,elect_td_bld,rooftop_pv,rooftop_pv,2035,OM-fixed,0
Japan,elect_td_bld,rooftop_pv,rooftop_pv,2040,OM-fixed,0
Japan,elect_td_bld,rooftop_pv,rooftop_pv,2045,OM-fixed,0
Japan,elect_td_bld,rooftop_pv,rooftop_pv,2050,OM-fixed,0
Japan,elect_td_bld,rooftop_pv,rooftop_pv,2055,OM-fixed,0
Japan,elect_td_bld,rooftop_pv,rooftop_pv,2060,OM-fixed,0
Japan,elect_td_bld,rooftop_pv,rooftop_pv,2065,OM-fixed,0
Japan,elect_td_bld,rooftop_pv,rooftop_pv,2070,OM-fixed,0
Japan,elect_td_bld,rooftop_pv,rooftop_pv,2075,OM-fixed,0
Japan,elect_td_bld,rooftop_pv,rooftop_pv,2080,OM-fixed,0
Japan,elect_td_bld,rooftop_pv,rooftop_pv,2085,OM-fixed,0
Japan,elect_td_bld,rooftop_pv,rooftop_pv,2090,OM-fixed,0
Japan,elect_td_bld,rooftop_pv,rooftop_pv,2095,OM-fixed,0
Japan,elect_td_bld,rooftop_pv,rooftop_pv,2100,OM-fixed,0
Japan,electricity,wind,wind,2020,OM-fixed,0
Japan,electricity,wind,wind,2025,OM-fixed,0
Japan,electricity,wind,wind,2030,OM-fixed,0
Japan,electricity,wind,wind,2035,OM-fixed,0
Japan,electricity,wind,wind,2040,OM-fixed,0
Japan,electricity,wind,wind,2045,OM-fixed,0
Japan,electricity,wind,wind,2050,OM-fixed,0
Japan,electricity,wind,wind,2055,OM-fixed,0
Japan,electricity,wind,wind,2060,OM-fixed,0
Japan,electricity,wind,wind,2065,OM-fixed,0
Japan,electricity,wind,wind,2070,OM-fixed,0
Japan,electricity,wind,wind,2075,OM-fixed,0
Japan,electricity,wind,wind,2080,OM-fixed,0
Japan,electricity,wind,wind,2085,OM-fixed,0
Japan,electricity,wind,wind,2090,OM-fixed,0
Japan,electricity,wind,wind,2095,OM-fixed,0
Japan,electricity,wind,wind,2100,OM-fixed,0
Australia_NZ,electricity,solar,CSP,2020,OM-fixed,0
Australia_NZ,electricity,solar,CSP,2025,OM-fixed,0
Australia_NZ,electricity,solar,CSP,2030,OM-fixed,0
Australia_NZ,electricity,solar,CSP,2035,OM-fixed,0
Australia_NZ,electricity,solar,CSP,2040,OM-fixed,0
Australia_NZ,electricity,solar,CSP,2045,OM-fixed,0
Australia_NZ,electricity,solar,CSP,2050,OM-fixed,0
Australia_NZ,electricity,solar,CSP,2055,OM-fixed,0
Australia_NZ,electricity,solar,CSP,2060,OM-fixed,0
Australia_NZ,electricity,solar,CSP,2065,OM-fixed,0
Australia_NZ,electricity,solar,CSP,2070,OM-fixed,0
Australia_NZ,electricity,solar,CSP,2075,OM-fixed,0
Australia_NZ,electricity,solar,CSP,2080,OM-fixed,0
Australia_NZ,electricity,solar,CSP,2085,OM-fixed,0
Australia_NZ,electricity,solar,CSP,2090,OM-fixed,0
Australia_NZ,electricity,solar,CSP,2095,OM-fixed,0
Australia_NZ,electricity,solar,CSP,2100,OM-fixed,0
Australia_NZ,electricity,solar,PV,2020,OM-fixed,0
Australia_NZ,electricity,solar,PV,2025,OM-fixed,0
Australia_NZ,electricity,solar,PV,2030,OM-fixed,0
Australia_NZ,electricity,solar,PV,2035,OM-fixed,0
Australia_NZ,electricity,solar,PV,2040,OM-fixed,0
Australia_NZ,electricity,solar,PV,2045,OM-fixed,0
Australia_NZ,electricity,solar,PV,2050,OM-fixed,0
Australia_NZ,electricity,solar,PV,2055,OM-fixed,0
Australia_NZ,electricity,solar,PV,2060,OM-fixed,0
Australia_NZ,electricity,solar,PV,2065,OM-fixed,0
Australia_NZ,electricity,solar,PV,2070,OM-fixed,0
Australia_NZ,electricity,solar,PV,2075,OM-fixed,0
Australia_NZ,electricity,solar,PV,2080,OM-fixed,0
Australia_NZ,electricity,solar,PV,2085,OM-fixed,0
Australia_NZ,electricity,solar,PV,2090,OM-fixed,0
Australia_NZ,electricity,solar,PV,2095,OM-fixed,0
Australia_NZ,electricity,solar,PV,2100,OM-fixed,0
Australia_NZ,elect_td_bld,rooftop_pv,rooftop_pv,2020,OM-fixed,0
Australia_NZ,elect_td_bld,rooftop_pv,rooftop_pv,2025,OM-fixed,0
Australia_NZ,elect_td_bld,rooftop_pv,rooftop_pv,2030,OM-fixed,0
Australia_NZ,elect_td_bld,rooftop_pv,rooftop_pv,2035,OM-fixed,0
Australia_NZ,elect_td_bld,rooftop_pv,rooftop_pv,2040,OM-fixed,0
Australia_NZ,elect_td_bld,rooftop_pv,rooftop_pv,2045,OM-fixed,0
Australia_NZ,elect_td_bld,rooftop_pv,rooftop_pv,2050,OM-fixed,0
Australia_NZ,elect_td_bld,rooftop_pv,rooftop_pv,2055,OM-fixed,0
Australia_NZ,elect_td_bld,rooftop_pv,rooftop_pv,2060,OM-fixed,0
Australia_NZ,elect_td_bld,rooftop_pv,rooftop_pv,2065,OM-fixed,0
Australia_NZ,elect_td_bld,rooftop_pv,rooftop_pv,2070,OM-fixed,0
Australia_NZ,elect_td_bld,rooftop_pv,rooftop_pv,2075,OM-fixed,0
Australia_NZ,elect_td_bld,rooftop_pv,rooftop_pv,2080,OM-fixed,0
Australia_NZ,elect_td_bld,rooftop_pv,rooftop_pv,2085,OM-fixed,0
Australia_NZ,elect_td_bld,rooftop_pv,rooftop_pv,2090,OM-fixed,0
Australia_NZ,elect_td_bld,rooftop_pv,rooftop_pv,2095,OM-fixed,0
Australia_NZ,elect_td_bld,rooftop_pv,rooftop_pv,2100,OM-fixed,0
Australia_NZ,electricity,wind,wind,2020,OM-fixed,0
Australia_NZ,electricity,wind,wind,2025,OM-fixed,0
Australia_NZ,electricity,wind,wind,2030,OM-fixed,0
Australia_NZ,electricity,wind,wind,2035,OM-fixed,0
Australia_NZ,electricity,wind,wind,2040,OM-fixed,0
Australia_NZ,electricity,wind,wind,2045,OM-fixed,0
Australia_NZ,electricity,wind,wind,2050,OM-fixed,0
Australia_NZ,electricity,wind,wind,2055,OM-fixed,0
Australia_NZ,electricity,wind,wind,2060,OM-fixed,0
Australia_NZ,electricity,wind,wind,2065,OM-fixed,0
Australia_NZ,electricity,wind,wind,2070,OM-fixed,0
Australia_NZ,electricity,wind,wind,2075,OM-fixed,0
Australia_NZ,electricity,wind,wind,2080,OM-fixed,0
Australia_NZ,electricity,wind,wind,2085,OM-fixed,0
Australia_NZ,electricity,wind,wind,2090,OM-fixed,0
Australia_NZ,electricity,wind,wind,2095,OM-fixed,0
Australia_NZ,electricity,wind,wind,2100,OM-fixed,0
