INPUT_TABLE,,,,,,,
Variable ID,,,,,,,
QUADRegionTechCapital,,,,,,,
,,,,,,,
region,supplysector,subsector,technology,year,input.capital,capital.overnight,fixed.charge.rate
USA,electricity,biomass,biomass (IGCC CCS),2020,capital,2235,0.13
USA,electricity,biomass,biomass (IGCC CCS),2025,capital,2235,0.13
USA,electricity,biomass,biomass (IGCC CCS),2030,capital,2235,0.13
USA,electricity,biomass,biomass (IGCC CCS),2035,capital,2235,0.13
USA,electricity,biomass,biomass (IGCC CCS),2040,capital,2235,0.13
USA,electricity,biomass,biomass (IGCC CCS),2045,capital,2235,0.13
USA,electricity,biomass,biomass (IGCC CCS),2050,capital,2235,0.13
USA,electricity,biomass,biomass (IGCC CCS),2055,capital,2235,0.13
USA,electricity,biomass,biomass (IGCC CCS),2060,capital,2235,0.13
USA,electricity,biomass,biomass (IGCC CCS),2065,capital,2235,0.13
USA,electricity,biomass,biomass (IGCC CCS),2070,capital,2235,0.13
USA,electricity,biomass,biomass (IGCC CCS),2075,capital,2235,0.13
USA,electricity,biomass,biomass (IGCC CCS),2080,capital,2235,0.13
USA,electricity,biomass,biomass (IGCC CCS),2085,capital,2235,0.13
USA,electricity,biomass,biomass (IGCC CCS),2090,capital,2235,0.13
USA,electricity,biomass,biomass (IGCC CCS),2095,capital,2235,0.13
USA,electricity,biomass,biomass (IGCC CCS),2100,capital,2235,0.13
USA,electricity,biomass,biomass (IGCC),2020,capital,1534,0.13
USA,electricity,biomass,biomass (IGCC),2025,capital,1534,0.13
USA,electricity,biomass,biomass (IGCC),2030,capital,1534,0.13
USA,electricity,biomass,biomass (IGCC),2035,capital,1534,0.13
USA,electricity,biomass,biomass (IGCC),2040,capital,1534,0.13
USA,electricity,biomass,biomass (IGCC),2045,capital,1534,0.13
USA,electricity,biomass,biomass (IGCC),2050,capital,1534,0.13
USA,electricity,biomass,biomass (IGCC),2055,capital,1534,0.13
USA,electricity,biomass,biomass (IGCC),2060,capital,1534,0.13
USA,electricity,biomass,biomass (IGCC),2065,capital,1534,0.13
USA,electricity,biomass,biomass (IGCC),2070,capital,1534,0.13
USA,electricity,biomass,biomass (IGCC),2075,capital,1534,0.13
USA,electricity,biomass,biomass (IGCC),2080,capital,1534,0.13
USA,electricity,biomass,biomass (IGCC),2085,capital,1534,0.13
USA,electricity,biomass,biomass (IGCC),2090,capital,1534,0.13
USA,electricity,biomass,biomass (IGCC),2095,capital,1534,0.13
USA,electricity,biomass,biomass (IGCC),2100,capital,1534,0.13
USA,electricity,biomass,biomass (conv CCS),2020,capital,1962,0.13
USA,electricity,biomass,biomass (conv CCS),2025,capital,1962,0.13
USA,electricity,biomass,biomass (conv CCS),2030,capital,1962,0.13
USA,electricity,biomass,biomass (conv CCS),2035,capital,1962,0.13
USA,electricity,biomass,biomass (conv CCS),2040,capital,1962,0.13
USA,electricity,biomass,biomass (conv CCS),2045,capital,1962,0.13
USA,electricity,biomass,biomass (conv CCS),2050,capital,1962,0.13
USA,electricity,biomass,biomass (conv CCS),2055,capital,1962,0.13
USA,electricity,biomass,biomass (conv CCS),2060,capital,1962,0.13
