INPUT_TABLE,,,,,,
Variable ID,,,,,,
USARegionIntTechCapital2,,,,,,
,,,,,,
region,supplysector,subsector,intermittent.technology,year,input.capital,fixed.charge.rate
USA,electricity,solar,CSP,2020,capital,0.17
USA,electricity,solar,CSP,2025,capital,0.17
USA,electricity,solar,CSP,2030,capital,0.17
USA,electricity,solar,CSP,2035,capital,0.17
USA,electricity,solar,CSP,2040,capital,0.17
USA,electricity,solar,CSP,2045,capital,0.17
USA,electricity,solar,CSP,2050,capital,0.17
USA,electricity,solar,CSP,2055,capital,0.17
USA,electricity,solar,CSP,2060,capital,0.17
USA,electricity,solar,CSP,2065,capital,0.17
USA,electricity,solar,CSP,2070,capital,0.17
USA,electricity,solar,CSP,2075,capital,0.17
USA,electricity,solar,CSP,2080,capital,0.17
USA,electricity,solar,CSP,2085,capital,0.17
USA,electricity,solar,CSP,2090,capital,0.17
USA,electricity,solar,CSP,2095,capital,0.17
USA,electricity,solar,CSP,2100,capital,0.17
USA,electricity,solar,PV,2020,capital,0.1909591
USA,electricity,solar,PV,2025,capital,0.2017607
USA,electricity,solar,PV,2030,capital,0.2341812
USA,electricity,solar,PV,2035,capital,0.261248
USA,electricity,solar,PV,2040,capital,0.305679
USA,electricity,solar,PV,2045,capital,0.355605
USA,electricity,solar,PV,2050,capital,0.41134
USA,electricity,solar,PV,2055,capital,0.398309
USA,electricity,solar,PV,2060,capital,0.402862
USA,electricity,solar,PV,2065,capital,0.38936
USA,electricity,solar,PV,2070,capital,0.392029
USA,electricity,solar,PV,2075,capital,0.377899
USA,electricity,solar,PV,2080,capital,0.363612
USA,electricity,solar,PV,2085,capital,0.364083
USA,electricity,solar,PV,2090,capital,0.349325
USA,electricity,solar,PV,2095,capital,0.334567
USA,electricity,solar,PV,2100,capital,0.319809
USA,elect_td_bld,rooftop_pv,rooftop_pv,2020,capital,0.0984
USA,elect_td_bld,rooftop_pv,rooftop_pv,2025,capital,0.0984
USA,elect_td_bld,rooftop_pv,rooftop_pv,2030,capital,0.0984
USA,elect_td_bld,rooftop_pv,rooftop_pv,2035,capital,0.0984
USA,elect_td_bld,rooftop_pv,rooftop_pv,2040,capital,0.0984
USA,elect_td_bld,rooftop_pv,rooftop_pv,2045,capital,0.0984
USA,elect_td_bld,rooftop_pv,rooftop_pv,2050,capital,0.0984
USA,elect_td_bld,rooftop_pv,rooftop_pv,2055,capital,0.12091
USA,elect_td_bld,rooftop_pv,rooftop_pv,2060,capital,0.12091
USA,elect_td_bld,rooftop_pv,rooftop_pv,2065,capital,0.12091
USA,elect_td_bld,rooftop_pv,rooftop_pv,2070,capital,0.12091
USA,elect_td_bld,rooftop_pv,rooftop_pv,2075,capital,0.12091
USA,elect_td_bld,rooftop_pv,rooftop_pv,2080,capital,0.12091
USA,elect_td_bld,rooftop_pv,rooftop_pv,2085,capital,0.12091
USA,elect_td_bld,rooftop_pv,rooftop_pv,2090,capital,0.12091
USA,elect_td_bld,rooftop_pv,rooftop_pv,2095,capital,0.12091
USA,elect_td_bld,rooftop_pv,rooftop_pv,2100,capital,0.12091
USA,electricity,wind,wind,2020,capital,0.056358163
USA,electricity,wind,wind,2025,capital,0.055561334
USA,electricity,wind,wind,2030,capital,0.055302565
USA,electricity,wind,wind,2035,capital,0.055030808
USA,electricity,wind,wind,2040,capital,0.055223391
USA,electricity,wind,wind,2045,capital,0.05542371
USA,electricity,wind,wind,2050,capital,0.055632237
USA,electricity,wind,wind,2055,capital,0.055761507
USA,electricity,wind,wind,2060,capital,0.05566017
USA,electricity,wind,wind,2065,capital,0.055792534
USA,electricity,wind,wind,2070,capital,0.055689296
USA,electricity,wind,wind,2075,capital,0.055584279
USA,electricity,wind,wind,2080,capital,0.055719694
USA,electricity,wind,wind,2085,capital,0.055612632
USA,electricity,wind,wind,2090,capital,0.055503665
USA,electricity,wind,wind,2095,capital,0.055392744
USA,electricity,wind,wind,2100,capital,0.055531088
