INPUT_TABLE,,,,,,,,
Variable ID,,,,,,,,
RegionTechCapital,,,,,,,,
,,,,,,,,
region,supplysector,subsector,technology,year,input.capital,capital.overnight,,fixed.charge.rate
USA,electricity,biomass,biomass (IGCC CCS),1975,capital,2742,544.047619,0.13
USA,electricity,biomass,biomass (IGCC CCS),1990,capital,2742,544.047619,0.13
USA,electricity,biomass,biomass (IGCC CCS),2005,capital,2742,544.047619,0.13
USA,electricity,biomass,biomass (IGCC CCS),2010,capital,2742,544.047619,0.13
USA,electricity,biomass,biomass (IGCC CCS),2015,capital,2742,544.047619,0.13
USA,electricity,biomass,biomass (IGCC CCS),2020,capital,2583,512.5,0.13
USA,electricity,biomass,biomass (IGCC CCS),2025,capital,2454,486.9047619,0.13
USA,electricity,biomass,biomass (IGCC CCS),2030,capital,2348,465.8730159,0.13
USA,electricity,biomass,biomass (IGCC CCS),2035,capital,2261,448.6111111,0.13
USA,electricity,biomass,biomass (IGCC CCS),2040,capital,2189,434.3253968,0.13
USA,electricity,biomass,biomass (IGCC CCS),2045,capital,2131,422.8174603,0.13
USA,electricity,biomass,biomass (IGCC CCS),2050,capital,2082,413.0952381,0.13
USA,electricity,biomass,biomass (IGCC CCS),2055,capital,2041,404.9603175,0.13
USA,electricity,biomass,biomass (IGCC CCS),2060,capital,2008,398.4126984,0.13
USA,electricity,biomass,biomass (IGCC CCS),2065,capital,1980,392.8571429,0.13
USA,electricity,biomass,biomass (IGCC CCS),2070,capital,1957,388.2936508,0.13
USA,electricity,biomass,biomass (IGCC CCS),2075,capital,1937,384.3253968,0.13
USA,electricity,biomass,biomass (IGCC CCS),2080,capital,1921,381.1507937,0.13
USA,electricity,biomass,biomass (IGCC CCS),2085,capital,1907,378.3730159,0.13
USA,electricity,biomass,biomass (IGCC CCS),2090,capital,1895,375.9920635,0.13
USA,electricity,biomass,biomass (IGCC CCS),2095,capital,1886,374.2063492,0.13
USA,electricity,biomass,biomass (IGCC CCS),2100,capital,1877,372.4206349,0.13
USA,electricity,biomass,biomass (IGCC),1975,capital,1859,,0.13
USA,electricity,biomass,biomass (IGCC),1990,capital,1859,,0.13
USA,electricity,biomass,biomass (IGCC),2005,capital,1859,,0.13
