INPUT_TABLE,,,
Variable ID,,,
LTSIndiaGDP,,,
,,,
region,nationalAccount,GDP,total-factor-productivity
India,1990,218835,0
India,2005,555412,0
India,2010,842958,0
India,2015,1170190,0
India,2020,1383780,1.06836
India,2025,1986600,1.12444
India,2030,2756490,1.19406
India,2035,3709730,1.24777
India,2040,4854460,1.29387
India,2045,6193040,1.3311
India,2050,7720610,1.37034
India,2055,9425700,1.41403
India,2060,1.13E+07,1.46032
India,2065,1.33E+07,1.50349
India,2070,1.54E+07,1.55063
India,2075,1.76E+07,1.60228
India,2080,1.98E+07,1.65299
India,2085,2.20E+07,1.70707
India,2090,2.41E+07,1.76365
India,2095,2.62E+07,1.82245
India,2100,2.83E+07,1.8845
